time,seconds_elapsed,z,y,x
1768558756667608000,0.065608154296875,-0.0334930419921875,-0.9999847412109375,-0.0541534423828125
1768558756677637000,0.07563720703125,-0.05267333984375,-0.99786376953125,-0.06097412109375
1768558756687666200,0.085666259765625,-0.04241943359375,-1.0006866455078125,-0.0465240478515625
1768558756697695000,0.095695068359375,-0.047088623046875,-1.000152587890625,-0.044647216796875
1768558756707724000,0.10572412109375,-0.0473785400390625,-0.9992828369140625,-0.04534912109375
1768558756717753000,0.115753173828125,-0.0339813232421875,-0.9999847412109375,-0.0345306396484375
1768558756727782000,0.125781982421875,-0.04156494140625,-0.9986114501953125,-0.03985595703125
1768558756737811200,0.135811279296875,-0.051422119140625,-0.999847412109375,-0.0588836669921875
1768558756747841000,0.145841064453125,-0.0095062255859375,-1.0045928955078125,0.051727294921875
1768558756757870000,0.1558701171875,0.00457763671875,-0.9898834228515625,-0.122222900390625
1768558756767899100,0.165899169921875,-0.06854248046875,-0.998565673828125,-0.066741943359375
1768558756777928200,0.17592822265625,-0.0180206298828125,-1.010711669921875,-0.03912353515625
1768558756787957000,0.18595703125,-0.0078887939453125,-0.9893798828125,-0.0574798583984375
1768558756797986000,0.195986083984375,-0.047271728515625,-0.9996490478515625,-0.0491485595703125
1768558756808015000,0.20601513671875,-0.0400390625,-0.9968109130859375,-0.033172607421875
1768558756818044000,0.2160439453125,-0.0550384521484375,-1.00006103515625,-0.03863525390625
1768558756828073000,0.226072998046875,-0.0664825439453125,-0.99908447265625,-0.04547119140625
1768558756838103000,0.23610302734375,-0.053253173828125,-0.99871826171875,-0.0328369140625
1768558756848132000,0.246132080078125,-0.0642242431640625,-0.998779296875,-0.0399017333984375
1768558756858161000,0.256160888671875,-0.0570526123046875,-1.0010223388671875,-0.050628662109375
1768558756868190000,0.26618994140625,0.0807647705078125,-1.012420654296875,0.0360260009765625
1768558756878219000,0.276218994140625,-0.2916717529296875,-0.9792327880859375,-0.0803375244140625
1768558756888248000,0.286248046875,-0.0165557861328125,-0.992279052734375,-0.182708740234375
1768558756898277000,0.296277099609375,0.1262054443359375,-1.013031005859375,0.05224609375
1768558756908306200,0.30630615234375,-0.12615966796875,-0.9977874755859375,-0.028564453125
1768558756918335000,0.3163349609375,-0.015350341796875,-0.9898529052734375,-0.129669189453125
1768558756928364000,0.326364013671875,-0.0208892822265625,-1.00225830078125,-0.01171875
1768558756938394000,0.33639404296875,-0.054840087890625,-0.9998321533203125,-0.0389556884765625
1768558756948423200,0.346423095703125,-0.0357818603515625,-0.99603271484375,-0.063232421875
1768558756958452000,0.356451904296875,-0.0482330322265625,-1.001495361328125,-0.02862548828125
1768558756968481000,0.36648095703125,-0.038299560546875,-1.0010223388671875,-0.0426177978515625
1768558756978510000,0.376510009765625,-0.0380859375,-0.999176025390625,-0.0466766357421875
1768558756988539000,0.386538818359375,-0.0382537841796875,-0.9981689453125,-0.0469512939453125
1768558756998568000,0.39656787109375,-0.0438995361328125,-0.9979705810546875,-0.0511474609375
1768558757008597200,0.40659716796875,-0.04595947265625,-0.9970855712890625,-0.0512237548828125
1768558757018626000,0.4166259765625,-0.039337158203125,-0.9967803955078125,-0.059051513671875
1768558757028656000,0.42665625,-0.046783447265625,-0.996978759765625,-0.060821533203125
1768558757038685200,0.436685302734375,-0.046142578125,-0.998931884765625,-0.046142578125
1768558757048714200,0.44671435546875,-0.0400238037109375,-0.9996185302734375,-0.0326385498046875
1768558757058743000,0.456742919921875,-0.0412750244140625,-1.000213623046875,-0.0215911865234375
1768558757068772000,0.466772216796875,-0.0615386962890625,-1.0074310302734375,-0.0526885986328125
1768558757078801200,0.47680126953125,-0.0650787353515625,-1.0016937255859375,0.07550048828125
1768558757088830000,0.486829833984375,0.06103515625,-0.9921417236328125,-0.152557373046875
1768558757098859000,0.49685888671875,-0.1496124267578125,-0.992279052734375,-0.0768280029296875
1768558757108888000,0.50688818359375,-0.012054443359375,-1.005157470703125,0.004241943359375
1768558757118916900,0.516916748046875,-0.020843505859375,-0.9964447021484375,-0.0789794921875
