seconds_elapsed,speed_ms,speed_percent,direction_percent,direction_enum,direction_angle_deg
0.0,0.0017309436985386934,0.0,-10.1,STRAIGHT,-4.6
0.010029,0.00198938833298333,0.0,-11.6,LEFT,-5.2
0.020058,0.0022703431036646964,0.0,-12.8,LEFT,-5.8
0.030088,0.0025750250440170204,0.1,-13.6,LEFT,-6.1
0.040117,0.0029046583859526592,0.1,-13.8,LEFT,-6.2
0.050146,0.00326061360172299,0.1,-13.4,LEFT,-6.0
0.060175,0.003644305059367758,0.1,-12.5,LEFT,-5.6
0.070204,0.004057308688203143,0.1,-11.0,STRAIGHT,-4.9
0.080233,0.004501234183617827,0.1,-9.0,STRAIGHT,-4.0
0.090262,0.004977780500525083,0.1,-6.7,STRAIGHT,-3.0
0.100291,0.005488763395550079,0.1,-4.4,STRAIGHT,-2.0
0.110321,0.006036093392901147,0.1,-2.1,STRAIGHT,-0.9
0.12035,0.0066215411743712396,0.1,-0.1,STRAIGHT,-0.0
0.130379,0.007247052832063882,0.1,1.5,STRAIGHT,0.7
0.140408,0.007914475983753173,0.2,2.7,STRAIGHT,1.2
0.150437,0.00862571096560325,0.2,3.2,STRAIGHT,1.5
0.160466,0.00938234298168752,0.2,3.3,STRAIGHT,1.5
0.170495,0.010185888662180011,0.2,2.8,STRAIGHT,1.3
0.180524,0.011037618568216686,0.2,2.0,STRAIGHT,0.9
0.190554,0.011938367470732614,0.2,0.8,STRAIGHT,0.4
0.200583,0.012888599191765202,0.3,-0.5,STRAIGHT,-0.2
0.210613,0.013888364066408932,0.3,-2.0,STRAIGHT,-0.9
0.220642,0.014937302459439979,0.3,-3.4,STRAIGHT,-1.5
0.230671,0.01603428811155912,0.3,-4.8,STRAIGHT,-2.2
0.240699,0.017177553422014158,0.3,-6.2,STRAIGHT,-2.8
0.250729,0.01836471571950129,0.4,-7.3,STRAIGHT,-3.3
0.260759,0.019592707308647025,0.4,-8.3,STRAIGHT,-3.7
0.270788,0.02085727549446478,0.4,-9.1,STRAIGHT,-4.1
0.280816,0.022153754220523642,0.4,-9.7,STRAIGHT,-4.3
0.290845,0.02347652347289826,0.5,-9.9,STRAIGHT,-4.5
0.300875,0.024819419863318003,0.5,-10.0,STRAIGHT,-4.5
